,Measure_Name,comparison_type,performance_data,gap_size,performance_trend_slope,trend
0,BP02,peers,1.0,0.3999999999999999,3.011728876938359e-18,non-monotonic
2,BP02,goal,1.0,0.09999999999999998,3.011728876938359e-18,non-monotonic
4,CARD03,peers,1.0,0.06999999999999995,0.0,no trend
6,CARD03,goal,1.0,0.95,0.0,no trend
8,CARD02,goal,1.0,0.95,0.0,no trend
10,CARD02,peers,1.0,0.06999999999999995,0.0,no trend
12,FLUID01C,peers,0.25,0.68,6.640862173649059e-17,non-monotonic
13,AKI01,peers,0.7272727272727273,0.20272727272727276,5.17469779764863e-18,non-monotonic
15,AKI01,goal,0.7272727272727273,0.6272727272727273,5.17469779764863e-18,non-monotonic
17,BP01,goal,1.0,0.25,0.0,no trend
19,BP01,peers,1.0,0.06999999999999995,0.0,no trend
21,FLUID01NC,peers,1.0,0.06999999999999995,2.6352627673210457e-18,no trend
22,BP04,peers,0.0,1.2,0.0,no trend
24,BP04,goal,0.0,0.9,0.0,no trend
26,BP03,goal,0.8095238095238095,0.09047619047619049,3.501134819440831e-17,monotonic
28,BP03,peers,0.8095238095238095,0.12047619047619051,3.501134819440831e-17,monotonic
30,ABX01,goal,0.0,0.9,0.0,no trend
32,ABX01,peers,0.0,0.93,0.0,no trend
